item_id,item_api_url,item_page_url,title,identifier,scan_number,printed_page,position_on_page,chapter,illustration_type,visual_typology,creators,subjects,characters,narrative_place,geographic_place,illustration_image_url,media_ids,canvas_label,canvas_id,page_iiif_image_service,page_full_image_url,x,y,w,h,match_score,match_method,iiif_region_url
228769,https://dlrc.ficlit.unibo.it/api/items/228769,https://dlrc.ficlit.unibo.it/s/lib/item/228769,Frontespizio,Quarantana_0007_p.[1]_1,0007,[1],1,,Frontespizio morto,,"Gonin, Francesco; Sacchi, Luigi",Amore; Famiglia; Morte; Religione; Violenza,"Abbondio, don; Agnese, madre di Lucia; Azzecca-garbugli, dottor; Cristoforo, padre; Gertrude; Innominato; Lucia Mondella; Renzo Tramaglino; Rodrigo, don",,,https://dlrc.ficlit.unibo.it/files/original/e727842ae416a59d7facd37e7370b287f26ddf0b.jpg,229274; 229778,Quarantana_0007_p.[1].jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p7,https://dlrc.ficlit.unibo.it/iiif/2/232052,https://dlrc.ficlit.unibo.it/iiif/2/232052/full/full/0/default.jpg,296,567,841,1111,0.9646,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232052/296,567,841,1111/full/0/default.jpg"
228770,https://dlrc.ficlit.unibo.it/api/items/228770,https://dlrc.ficlit.unibo.it/s/lib/item/228770,"Lucia, circondata da forze maligne, viene protetta da un angelo",Quarantana_0009_p.[3]_1,0009,[3],1,,Frontespizio tipografico,,"Gonin, Francesco; Sacchi, Luigi; Bernard",Provvidenza; Religione,Lucia Mondella,,,https://dlrc.ficlit.unibo.it/files/original/b7402a91013389095f5d2d9a7257bfb5c28f896b.jpg,229275; 229779,Quarantana_0009_p.[3].jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p9,https://dlrc.ficlit.unibo.it/iiif/2/232054,https://dlrc.ficlit.unibo.it/iiif/2/232054/full/full/0/default.jpg,382,1128,713,528,0.7836,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232054/382,1128,713,528/full/0/default.jpg"
228771,https://dlrc.ficlit.unibo.it/api/items/228771,https://dlrc.ficlit.unibo.it/s/lib/item/228771,Genietto con torce,Quarantana_0011_p.5_1,0011,5,1,Introduzione,Intestazione,Figura allegorica,"Gonin, Francesco",Passioni; Religione,,,,https://dlrc.ficlit.unibo.it/files/original/7f8e5d310fc2c72e480c2591c5ff7b8d2d4dc25c.jpg,229276; 229780,Quarantana_0011_p.5.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p11,https://dlrc.ficlit.unibo.it/iiif/2/232056,https://dlrc.ficlit.unibo.it/iiif/2/232056/full/full/0/default.jpg,307,484,848,340,0.6738,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232056/307,484,848,340/full/0/default.jpg"
228772,https://dlrc.ficlit.unibo.it/api/items/228772,https://dlrc.ficlit.unibo.it/s/lib/item/228772,Iniziale dell'introduzione (L). Lettore seduto al tavolo,Quarantana_0011_p.5_2,0011,5,2,Introduzione,Capolettera,Scena con figure,"Gonin, Francesco",Romanzo; Storia,"Manzoni, Alessandro",,,https://dlrc.ficlit.unibo.it/files/original/e42edc79190c6b289b64255f4430c095a7c2c95e.jpg,229277; 229781,Quarantana_0011_p.5.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p11,https://dlrc.ficlit.unibo.it/iiif/2/232056,https://dlrc.ficlit.unibo.it/iiif/2/232056/full/full/0/default.jpg,297,1363,284,339,0.9716,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232056/297,1363,284,339/full/0/default.jpg"
228773,https://dlrc.ficlit.unibo.it/api/items/228773,https://dlrc.ficlit.unibo.it/s/lib/item/228773,Il lettore davanti al fuoco,Quarantana_0014_p.8_1,0014,8,1,Introduzione,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi",Romanzo; Storia,"Manzoni, Alessandro",,,https://dlrc.ficlit.unibo.it/files/original/bc07a3142348b609e1c292e4f0bcdb93b3dc8605.jpg,229278; 229782,Quarantana_0014_p.8.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p14,https://dlrc.ficlit.unibo.it/iiif/2/232059,https://dlrc.ficlit.unibo.it/iiif/2/232059/full/full/0/default.jpg,733,1035,816,513,0.6779,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232059/733,1035,816,513/full/0/default.jpg"
228774,https://dlrc.ficlit.unibo.it/api/items/228774,https://dlrc.ficlit.unibo.it/s/lib/item/228774,Il ponte sul lago di Como,Quarantana_0015_p.9_1,0015,9,1,Capitolo I,Intestazione,Paesaggio naturale,"Riccardi, Luigi; Sacchi, Luigi",Viaggio,,"Lecco, ponte di","Como, lago di",https://dlrc.ficlit.unibo.it/files/original/a2047fa88cdc035f78ea47ce5854073c9734711b.jpg,229279; 229783,Quarantana_0015_p.9.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p15,https://dlrc.ficlit.unibo.it/iiif/2/232060,https://dlrc.ficlit.unibo.it/iiif/2/232060/full/full/0/default.jpg,257,441,848,423,0.7516,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232060/257,441,848,423/full/0/default.jpg"
228775,https://dlrc.ficlit.unibo.it/api/items/228775,https://dlrc.ficlit.unibo.it/s/lib/item/228775,Iniziale del capitolo I (Q). Arco del ponte con sentiero,Quarantana_0015_p.9_2,0015,9,2,Capitolo I,Capolettera,Paesaggio naturale,"[Riccardi, Luigi]; Sheeres, Charles William",Natura; Viaggio,,,,https://dlrc.ficlit.unibo.it/files/original/ce824d4ecec04a05ea95c8399837e9d91b81ec91.jpg,229280; 229784,Quarantana_0015_p.9.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p15,https://dlrc.ficlit.unibo.it/iiif/2/232060,https://dlrc.ficlit.unibo.it/iiif/2/232060/full/full/0/default.jpg,281,1288,307,370,0.7405,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232060/281,1288,307,370/full/0/default.jpg"
228776,https://dlrc.ficlit.unibo.it/api/items/228776,https://dlrc.ficlit.unibo.it/s/lib/item/228776,Veduta di Lecco,Quarantana_0017_p.11_1,0017,11,1,Capitolo I,Altre illustrazioni,Paesaggio naturale,"Riccardi, Luigi; Sacchi, Luigi",Natura; Viaggio,,"Lecco, ponte di","Como, lago di",https://dlrc.ficlit.unibo.it/files/original/f82a1d98c44606fc8aa4e0bf8650d1ac6da65b72.jpg,229281; 229785,Quarantana_0017_p.11.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p17,https://dlrc.ficlit.unibo.it/iiif/2/232062,https://dlrc.ficlit.unibo.it/iiif/2/232062/full/full/0/default.jpg,295,889,873,727,0.8715,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232062/295,889,873,727/full/0/default.jpg"
228777,https://dlrc.ficlit.unibo.it/api/items/228777,https://dlrc.ficlit.unibo.it/s/lib/item/228777,La lettura delle gride,Quarantana_0019_p.13_1,0019,13,1,Capitolo I,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi; Bernard",Legge nel Seicento; Storia,Bravi,,Milano,https://dlrc.ficlit.unibo.it/files/original/9a4b39f3006c03f3a1adc62a8f2768c8b21e676b.jpg,229282; 229786,Quarantana_0019_p.13.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p19,https://dlrc.ficlit.unibo.it/iiif/2/232064,https://dlrc.ficlit.unibo.it/iiif/2/232064/full/full/0/default.jpg,253,1013,873,623,0.8128,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232064/253,1013,873,623/full/0/default.jpg"
228778,https://dlrc.ficlit.unibo.it/api/items/228778,https://dlrc.ficlit.unibo.it/s/lib/item/228778,Don Abbondio incontra i bravi,Quarantana_0022_p.16_1,0022,16,1,Capitolo I,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi; Bernard",Potere; Religione,"Abbondio, don; Bravi di don Rodrigo",,,https://dlrc.ficlit.unibo.it/files/original/dd436eea15f5ced59c7b35133457278e1549085c.jpg,229283; 229787,Quarantana_0022_p.16.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p22,https://dlrc.ficlit.unibo.it/iiif/2/232067,https://dlrc.ficlit.unibo.it/iiif/2/232067/full/full/0/default.jpg,702,1006,841,828,0.9259,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232067/702,1006,841,828/full/0/default.jpg"
